,Id,Gender,Age,Topic,Sentence
8131,605,M,30-39,ANIME,vero XD se durasse ancora 8 anni io arriverei ai 40
8132,759,M,50-100,SPORTS,"Si in effetti è vero, ripensandoci mi da moooolto più fastidio la saccenza che essere apostrofato frocions e accomunato a feticisti schifosi."
8133,688,M,40-49,AUTO-MOTO,A giudicare dal bozzo sembra che sei atterrato male mentre inseguivi il Generale Lee di Boe e Luke Duke!
8134,841,M,20-29,AUTO-MOTO,Il prezzo torna a 15.500 trattabili. Su ragazzi!!!
8135,572,M,40-49,ANIME,"R.I.P. Mark,te ne vai ma la tua voce rimarrà"
8136,1081,M,20-29,ENTERTAINMENT,sto ascoltando..avete gia'la nuova di d pietras???😛😛😛😛😛
8137,255,M,30-39,SPORTS,Ciao anomino  io sono Domenico ... dicci qualcosa di te ... Benvenuto a bordo
8138,512,M,40-49,SPORTS,Geggi personalmente mi tolgo pochi sfizi..... per ovvii motivi.... ma uno me lo sono giurato da quando seppi di aspettare il maschietto.... Ogni anno maglia originale del napoli della sua misura con nome e numero di anno sulla maglia.... ce le ha tutte dall'1 alla 7 (attuale)..... per cui.... si le compro in negozio......
8139,1100,M,50-100,SPORTS,Sto seguendo in silenzio ma sono come un palloncino stragonfio di aria compressa....
8140,286,M,40-49,AUTO-MOTO,Eccola ve la presento ... è la mia Evoque qui ora con cerchi stile 8 e scritte RANGE nere Qui appena comprata Come richiesto inserisco dei dettagli sugli interni
8141,185,M,40-49,SPORTS,"06.05. 15:00 Ascoli Benevento 2 06.05. 15:00 Avellino Bari X 06.05. 15:00 Brescia Latina 1 06.05. 15:00 Carpi Salernitana 1 (1-0) 06.05. 15:00 Cesena Novara X 06.05. 15:00 Entella Verona X 06.05. 15:00 Frosinone Trapani 1 06.05. 15:00 Vicenza Ternana X 07.05. 17:30 Spal Pro Vercelli 1 08.05. 20:30 Pisa Cittadella 2 ------------------- Complimenti Hyppo, hai fatto un copia/incolla dei pronostici di luis......così vinci sicuro......"
8142,751,M,30-39,AUTO-MOTO,Anche a me è arrivata... Ma sono l’unico ad aver aggiornato gratis prima di questa mail?
8143,468,M,0-19,BIKES,"Non lo conosco, chi è, io la gente strana non ce la porto in macchina"
8144,1025,M,20-29,CELEBRITIES,"Eliminata Mariana con il 51% circa In: Andrea, Gabriele, Elenoire Out: Valeria, Stefano, Laura"
8145,542,M,50-100,AUTO-MOTO,"allora due pali, uno rotto in testa e uno sù per il c........"
8146,767,M,30-39,AUTO-MOTO,"I Cv vengono dalla benzina, ad ogni modo. Altrimenti sarebbe bello, potremmo fare motori che bruciano solo aria...  Che sia inutile -e controproduttivo- montare carburatori sovradimensionati è certo. Il fatto è capire cosa è un carburatore sovradimensionato. Un amico su CRE (minarelli AM6 con kit top performances in ghisa, e basta) recuperò un carburatore da un KX125 del 1993, era un keihin con diffusore da 36mm. Sempre usato senza filtro e con un collettore orrendo (piastra di ferro con tubo in gomma recuperato da qualche manicotto), senza toccare nulla non era nè scarburato nè ""affogava"" aprendo il gas di scatto. Io non ci avrei scommesso un euro, ma sembrava il suo...e andava anche decisamente meglio che con il 28 dell'orto..."
8147,1086,M,30-39,AUTO-MOTO,"anche a me è successo di sentire un sibilo mentre andavo, l'ho fatta controllare ed era la catena della frizione da mettere in tensione... ora, se hai fatto il tagliando da poco, non è detto che il mecca (con la scusa che è nuova) l'abbia controllata minuziosamente, ripassa da loro e chiedi di guardartela ancora..."
8148,717,M,30-39,SPORTS,"Premesso che la vivo proprio tranquilla,nel senso che per me è impossibile la cosa,sono passato da crederci zero a crederci uno proprio perché è arrivata la smentita dell'al hittiad,cioè per me una volta che aveva smentito la Samp ufficialmente era a posto la cosa,non vedevo necessaria anche la smentita degli arabi."
8149,727,M,30-39,AUTO-MOTO,"Ragazzi vi presento ""Susanna"" Manca solo il sellino che è in corso d'opera!"
8150,760,M,40-49,SMOKE,Antico alla maremmana dopo una sagra paesana. Vale come rima per il concorso? 😂
8151,863,F,0-19,ANIME,"Sì lo so, sono ancora io. Scusate se rompo D: Il problema è che quando devo salvare il lavoro, mi si blocca tutto. Voglio dire che dove c'è scritto nella finestra ""salva immagine"" a fianco mi appare ""non risponde"" e di conseguenza il file non si salva e quindi devo richiudere il programma. Però poi quando vado sulla cartella dove volevo salvare il file mi ritrovo ogni singolo frame."
8152,188,M,30-39,SPORTS,per me non gioca neanche stavolta cassano e mi dispiacerebbe
8153,617,M,20-29,SPORTS,"Solo una domanda, non per criticare, ma... cosa impedisce di creare la Coppa Eccellenza? L'eccessivo peso dei calendari reali?"
8154,171,M,40-49,ANIME,"Guarda ho letto il tuo pensiero nei post precedenti e in linea di massima la penso come te. Se mi fossi immaginato la fine della D/V anche io non mi sarei avventurato nell'acquisto dei dvd di Goldrake.  Io gia' mal digerivo che non ci fosse il doppiaggio storico anche se piu' di una volta ho espresso parere favorevole al DN come elemento essenziale, e non opzionale, alla miglior godibilita'del prodotto in questione. Detto questo ribadisco la mia idea e cioe' che Nagai, il suo staff, la Toei, la Dynamic etc. se la sono menata enormemente con l'Italia, il piu' grosso bacino di utenza dei loro prodotti vintage secondi forse solo alla Francia in Europa. Che poi Mr.Hits fosse e rimanga un cretino incompetente e fallito questo e' un'altro paio di maniche ma non voglio tornare sull'argomento, sta di fatto che dopo 30 anni non vediamo un cazzo, principalmente da noi, perche' vedo che nel resto d'europa e del mondo qualcosa si muove. Ovviamente intendo il vintage e non gli ""shin"" i ""Kaiser"" etc. Adesso mi domando: Come si sta muovendo Yamato a fronte del Goldorak che esce in Francia? Non potrebbe cavalcare l'onda e tentare di proporlo a ""breve"" termine, (entro un anno), anche da noi?"
8155,37,M,50-100,METAL-DETECTING,"trovata alcune settimane fa in un boschetto vicino a casa, a meno di 20 centimetri di profondità. un po consunta, ma sempre una bella soddisfazione trovarla!"
8156,775,M,20-29,ANIME,"Charmander Charmander  LV8 PV30 Abilità: Aiutofuoco Graffio (-16) Ruggito (abbassa Att) Braciere (-18, può BRU) Exp 5/50 Braciere tu k.o prendo exp e ricerco"
8157,118,F,30-39,NATURE,Neanche la malattia ti aveva levato la voglia di coccole
8158,840,F,0-19,ANIME,"Mannò dai, c'è di peggio u.u Le icon sono le mie preferite! Davvero belle**"
8159,712,M,40-49,AUTO-MOTO,Complimenti per le moto e per i piloti in questo momento vi invidio ma sono contento per voi
8160,243,M,30-39,ANIME,"Bella domanda, non riesco a capire a cosa si riferisca. Il testo in giapponese nello schermo ( あなたの勝ちです ) significa ""Hai vinto"", esattamente come scritto in inglese, l'ultima riga invece significa ""hai guadagnato 10 punti"", niente di tutto ciò mi aiuta a capire da dove arrivi questa immagine"
8161,338,M,30-39,MEDICINE-AESTHETICS,Almeno un anno di finasteride per avere i massimi risultati.
8162,246,M,50-100,ANIME,"Allora, Vorrei che la scrittura fosse chiaro su sfondo scuro Vorrei agli angoli del layout delle figure eleganti barocche come nel link che mi hai mostrato. Se nell'angolo a destra in basso sfocato nella nebbia si vede un animale mitologico come il basilisco che ho come cloth sarebbe l'ideale. Spero di essere stato meno ""confusionario "" ora"
8163,1091,M,20-29,AUTO-MOTO,anche io fai conto che adesso ho una cooper s quindi a bagagliaio sono messo bene...
8164,273,M,40-49,SPORTS,"Non c'è più vergogna... dovrebbero dimettersi tutti da tavecchio in giù ma nessuno li costringe a farlo. Spero solo che nelle ultime giornate di campionato o play-off o play-out le tifoserie ancora in ballo abbiano giudizio. Un qualche caso di cronaca permetterebbe a questi sciacalli di insabbiare di nuovo tutto nascondendosi dietro all'ennesimo ""grave episodio di violenza"" con conseguente giornalata e giro di vite alle norme sulla gestione dell'ordine pubblico."
